Oc,media_erro,var_erro,desvio_padrao_erro
0,-0.2604161215081741,51.736859775953285,7.192833918279588
10,-11.164497542158358,3249.1109171546454,57.00097294919312
20,-13.724079498093413,4384.194060691441,66.21324686715975
30,-12.496948865554407,4528.330719467004,67.29287272413777
40,-10.617363197551146,4650.4924821684735,68.19451944378282
50,-9.08816816474914,4549.538081647921,67.45026376262676
60,-7.898412100669287,4469.859051720966,66.85700450753806
70,-7.0371130927511665,4426.599612699544,66.53269581716604
80,-6.7779591753697686,4509.102065908893,67.1498478472505
90,-6.549537098450775,4481.552129036181,66.94439580006814
100,-6.457119203437179,4534.548793301488,67.33905845273966
