Oc,media_erro,var_erro,desvio_padrao_erro
0,-0.5077747426839758,52.5766495338205,7.250975764255491
10,-9.619914431151656,3334.964093121572,57.74914798610948
20,-13.054006043050121,4510.83921836702,67.162781496652
30,-12.53889126634008,4860.928569711546,69.72035979333114
40,-10.94018077582824,4811.833536836779,69.36738092819117
50,-9.33571231582564,4793.854052084446,69.23766353715618
60,-8.309081507639178,4751.16991530068,68.92873069555742
70,-7.346719941201244,4631.933325181836,68.05830827446297
80,-6.80691582196618,4628.097159573987,68.03011950286422
90,-6.795819379672499,4775.222779600134,69.1029867632372
100,-6.445152126457879,4702.480203261409,68.57463235965184
