n_ocupacao,media_SNR,var_SNR,DP_SNR
0,-0.0008703655943373801,1.196071413177519e-05,0.0034584265398841696
10,2.2805587292692593,0.0379857699222123,0.19489938409910973
20,-0.8849377179151139,0.14804037454320662,0.38476015196899827
30,-4.6485519012334215,0.08319256802205355,0.28843121887558143
40,-7.548769859096056,0.02191882899311035,0.1480500894734966
50,-9.769686224108547,0.011667095326932287,0.10801432926668705
60,-11.586384630667085,0.019643499581078715,0.14015526954445456
70,-13.072325037686806,0.01200803714761848,0.10958118975270564
80,-14.368439118751745,0.007465028475092406,0.08640039626698715
90,-15.479918370256742,0.006011159124544632,0.07753166530227912
100,-16.49483280839931,0.037133070249424666,0.1926994298108447
