n_ocupacao,media_EME,var_EME,DP_EME
0,6.237754013043567,93086.34479123076,305.10054865770195
10,-2.507122270089836,10517.010542657277,102.55247701863314
20,15.698275729941763,9942.089276659364,99.71002595857331
30,-40.336473485007915,78848.44324131135,280.7996496459911
40,5.212060584053062,15729.248289585425,125.41629993579552
50,-6.745227784576589,4526.358362727091,67.27821610838899
60,28.724047069788053,69280.71770605087,263.21230538493234
70,40.90256859469456,275129.7370572322,524.5281089295713
80,-25.576122639744327,76734.26512761577,277.0095036774294
90,-17.458411639171562,40376.52132769936,200.93909855401301
100,24.704322961969826,83222.22124798458,288.48261862369554
