n_ocupacao,media_MSE,var_MSE,DP_MSE
0,1303288160.6312213,2.864817824625301e+19,5352399298.095482
10,248347257.0317756,2.3454144093476925e+18,1531474586.5823867
20,126427964.21388112,9.458181838213379e+17,972531842.0603707
30,598752464.3328098,2.877189632559652e+19,5363944101.647268
40,9250525029.478088,8.439000048302112e+21,91864030220.22336
50,28315474577.734634,7.120685967765704e+22,266846134837.3947
60,442404827.26684016,9.690912123469783e+18,3113022987.94432
70,113790811.76050287,1.0637486811043405e+17,326151602.9554876
80,3455871568.158778,8.11630438811429e+20,28489128431.93749
90,439442935.3475096,5.674439026254591e+18,2382108105.49282
100,287219054.5676672,2.758562461676945e+18,1660892068.039626
