n_ocupacao,media_SNR,var_SNR,DP_SNR
0,inf,nan,nan
10,273.15579659922327,76.11659245451106,8.724482360261328
20,263.70589339796805,3.2502069787869874,1.802833042404922
30,267.5917506946608,8.496797656616321,2.914926698326447
40,266.3383717743782,4.184010269878026,2.0454853384656726
50,265.8074823119864,20.438697409717452,4.520917761883913
60,263.0545478529068,34.543250537163324,5.877350639290064
70,258.8400562651281,3.2198903893061424,1.7944053024069402
80,265.5007714042786,15.984914119397802,3.998113820215453
90,263.7496519222775,14.217024724175257,3.7705470059628294
100,263.25633011519693,4.506549153673873,2.1228634326479585
