n_ocupacao,media_MSE,var_MSE,DP_MSE
0,1.8377342932865766,0.03464022998642932,0.18611885983540014
10,395.0887902625941,1944.2991794188633,44.094208003079764
20,946.1012135323496,10370.166516491618,101.83401453586919
30,1675.373524050917,30495.875212980653,174.6306823355525
40,2584.6738263607267,70725.6396152048,265.9429254844069
50,3669.530676470802,138455.64949850275,372.09629062717454
60,4946.530759033715,252599.27885709135,502.59255750268665
70,6398.734321857909,417881.28263827664,646.4373771977272
80,8028.850185039634,653060.6158110363,808.1216590409122
90,9832.206832452961,976403.0392034064,988.1310840184143
100,11815.845480242324,1400450.303199435,1183.4062291535545
