n_ocupacao,media_MAE,var_MAE,DP_MAE
0,0.0019874911494252665,1.2493748665707072e-06,0.001117754385619089
10,4.945671098708667,0.26441954683936747,0.5142174120344113
20,6.63698062137394,0.46624444603421217,0.6828209472725717
30,7.835116678888726,0.6628036299352877,0.8141275268256735
40,8.773596651412605,0.8131850160170906,0.9017677173291859
50,9.52468563093,0.9579733623587725,0.978761136518391
60,10.162339538561792,1.1074688745424037,1.0523634707373701
70,10.719609332040214,1.2003916180880088,1.09562384881309
80,11.281970581569666,1.3094677311935188,1.1443197678942363
90,11.684872418293306,1.4436945775771002,1.201538421182236
100,11.900624309736,1.4833578920789126,1.217931809289384
