Oc,media_erro,var_erro,desvio_padrao_erro
0,1.6235029698453733e-06,1.8535203462747314,1.3614405408517596
10,9.947110797028795,299.44963722350894,17.304613177517403
20,19.938173762750594,559.0094860178131,23.643381442124834
30,29.986865267172533,792.4419591873527,28.150345631756508
40,39.99648050558511,1007.4434479069607,31.74024965098669
50,49.979218474506375,1207.317767544415,34.746478491271816
60,60.01444650705571,1396.2168531113605,37.36598524208027
70,70.08477178745657,1564.286746327672,39.55106504669213
80,80.09166688961699,1709.2868199558577,41.343522103902295
90,90.05202309246219,1836.5573465925913,42.85507375553788
100,100.02529448129438,1945.1106646642195,44.103408764677354
