Oc,media_erro,var_erro,desvio_padrao_erro
0,-2.659551605274009e-07,1.9346930009917627,1.3909324214323868
10,9.947111853694611,327.0783148036824,18.08530659965936
20,19.93815002737129,613.8978531322552,24.776962144949394
30,29.987019676615162,870.0864002254323,29.497226992133214
40,39.99653959338029,1106.0923382770975,33.25796653851671
50,49.979209561102685,1324.8114664495445,36.39795964679263
60,60.014459926447756,1530.927871627872,39.127073384395516
70,70.08477146155198,1710.4216553392057,41.357244290924484
80,80.09163582053394,1866.7950480586221,43.206423689755
90,90.05199385767322,2001.15901860433,44.73431589511937
100,100.02534733876067,2114.6150836528377,45.98494409752868
