n_ocupacao,media_SNR,var_SNR,DP_SNR
0,-inf,nan,nan
10,7.001248310271822,0.03769824579819867,0.19416036103746478
20,6.214845867035164,0.0069632722609736875,0.08344622376700869
30,5.48131789730971,0.029317375325703058,0.17122317403232268
40,4.860773355600202,0.003216690131735362,0.056715871956052676
50,4.293550159211508,0.01109619349478813,0.10533847110523357
60,3.8083172903026226,0.0017124028208958023,0.04138118921558203
70,3.36218246552657,0.0016857164698241142,0.041057477635920527
80,2.9522411453134128,0.002312760202404667,0.04809116553385525
90,2.58133409642451,0.002793423658540131,0.052852849105229235
100,2.241680306159614,0.0019536768233408674,0.04420041655166688
