Oc,media_erro,var_erro,desvio_padrao_erro
0,nan,nan,nan
10,-0.09370930538535852,988.8195490474143,31.445501252920334
20,-0.05773890250452607,1772.9924063989831,42.10691637247951
30,-0.0006013727483814825,2429.5348267111585,49.29031169216886
40,-0.11461939754102367,3117.3708013579285,55.83342011159561
50,-0.033149916130650235,3678.6053898965147,60.651507729787845
60,0.04068395253138373,4103.490093760752,64.05848963065513
70,-0.04124703004690799,4510.399457378628,67.15950757248469
80,0.035809781198886344,4788.671574976998,69.20022814252131
90,-0.03848484496282294,4995.480446032463,70.67871282099344
100,0.0681796090904332,5031.7139007792875,70.93457479099517
