n_ocupacao,media_EME,var_EME,DP_EME
0,0.0,0.0,0.0
10,0.005536656171647904,0.0035814654842056684,0.05984534638721434
20,-0.013051762604712046,0.013319232052021972,0.11540897734588056
30,0.004046763596888353,0.030807167255860267,0.17551970617529036
40,-0.011263356201805632,0.035189927888693365,0.1875897862056817
50,-0.0164620392422992,0.05386498969531163,0.23208832304816981
60,-0.05957845032245902,0.06807662976053097,0.26091498569559196
70,0.05036923313732773,0.1210936114376608,0.34798507358457315
80,0.0472946986383403,0.11848937279297234,0.3442228533856698
90,0.015002695940120412,0.11721599264924686,0.3423682120893335
100,-0.024740431198096196,0.15597612504858685,0.3949381281271623
