n_ocupacao,media_MSE,var_MSE,DP_MSE
0,0.019267521433375394,0.00022338060583329574,0.014945922716021775
10,605.0324892055382,6414.677345256636,80.09168087421212
20,961.3919860148358,14125.288005226193,118.84985488096396
30,1199.745676163739,23228.53026352059,152.40908852007675
40,1369.3317636103081,28784.986767240163,169.66138855744452
50,1440.6557935700619,33936.10941822689,184.2175600159412
60,1515.3420384384433,39452.78131230837,198.6272421202801
70,1556.3856345724378,37226.41993111242,192.9414935443188
80,1631.1861965604155,38874.28187762939,197.1656204251375
90,1684.3669781587741,46715.906079256776,216.13862699493762
100,1720.813879306458,45990.15311190583,214.45314899041662
