n_ocupacao,media_MAE,var_MAE,DP_MAE
0,0.0,0.0,0.0
10,0.8818512958329702,0.009891392045827268,0.09945547770649572
20,2.868335545040789,0.09248029163805184,0.304105724441438
30,5.460429673513566,0.3214272746669985,0.5669455658764768
40,8.540519293113805,0.7539506314163918,0.8683033061185428
50,11.815944826867536,1.4466878159987275,1.2027833620393689
60,15.260334026266417,2.390823318630525,1.5462287407206365
70,18.73515883512609,3.57420155091271,1.890555884102004
80,22.210929583613478,5.028157179418726,2.2423552750219415
90,25.673656584288036,6.683800938457844,2.5853048057159222
100,28.705101578912547,8.328153973302971,2.8858541150416754
