n_ocupacao,media_EME,var_EME,DP_EME
0,1.9601653575704724e-06,4.2928181851717874e-08,0.00020719117223404543
10,9.869975063317993,1.0408283218107806,1.0202099400666416
20,19.75151110982882,4.040340056894169,2.0100597147582877
30,29.663628905773514,8.938852936944151,2.9897914537546177
40,39.56740642732193,15.780282592768108,3.972440382531638
50,49.46954903543448,24.476979953024948,4.947421545919141
60,59.40535535657598,35.3714718312036,5.9473920192975
70,69.32899600527035,48.018577244322366,6.92954379770576
80,79.23574512660637,62.56891960140964,7.910051807757623
90,89.12079254830313,79.15808460517587,8.897082926733676
100,98.99643767168345,97.44025527322536,9.871183073635367
