n_ocupacao,media_SNR,var_SNR,DP_SNR
0,nan,nan,nan
10,-24.584106201748913,1.1561643084143518,1.0752508118640747
20,-28.03017833290153,0.6800118390605686,0.8246283035771744
30,-29.31214904031471,1.3796185572625554,1.1745716484159472
40,-30.281742450317324,0.2627327299190981,0.512574609124465
50,-30.913396526163208,1.14009985572911,1.0677545859087236
60,-31.557256434379116,0.2864954642020482,0.5352527105975721
70,-31.777064764603686,0.32748114598486255,0.57225968404638
80,-32.121221266879836,0.1767409858799019,0.42040573958962774
90,-32.31097152052132,0.17352732004570712,0.41656610525306437
100,-32.37785061681264,0.04890142651698433,0.22113666931783232
