n_ocupacao,media_MAE,var_MAE,DP_MAE
0,276.2387440379198,60778.79981932374,246.53356732770436
10,154.9110883478606,12199.95407074941,110.45340225972856
20,122.792020704601,6381.859780343492,79.88654317432625
30,124.72182048212677,28897.525926458162,169.99272315736977
40,176.71975398140066,455678.44641066506,675.0395887728845
50,262.407255091821,1388608.1263235072,1178.392178488769
60,128.34364171638498,20873.08671087214,144.4752114062206
70,127.53464613959977,6675.290151459546,81.70244887064001
80,170.0117731753461,166412.97443042794,407.93746387213315
90,140.92236911550688,21660.266758943275,147.17427342760445
100,130.850967043616,14139.36107736447,118.90904539758307
