n_ocupacao,media_DP,var_DP,DP_DP
0,0.0,0.0,0.0
10,0.4936089896223614,7.182917053766931e-06,0.002680096463518978
20,0.6881113393446063,0.0012756494442963519,0.03571623502409446
30,0.866801283259694,0.0010884784190996204,0.03299209631259615
40,0.999236532854723,0.0012623451458589545,0.035529496842186696
50,1.1595050172176375,0.030429367952266882,0.17444015579065184
60,1.2870770862835916,0.06065395794814545,0.2462802427076631
70,1.4101449702160096,0.11011916270098512,0.3318420749407542
80,1.4333199451650493,0.01553779931783345,0.12465070925523629
90,1.4775529884181686,6.503334608166919e-06,0.0025501636434093634
100,1.580374184815719,0.006673624727651612,0.08169225622818611
