n_ocupacao,media_EME,var_EME,DP_EME
0,0.0,0.0,0.0
10,0.024909285810799178,0.0062061183677470065,0.07877892083385635
20,0.05284665788097275,0.027931451692820953,0.16712705254632162
30,-0.077181996376719,0.059575711272846284,0.24408136199400043
40,-0.058879487608424534,0.034672677831071363,0.186206009116439
50,0.00011705983031500363,7.748868716195416e-06,0.0027836789894302495
60,0.0421429685440716,0.017765590971901456,0.1332876249765951
70,-0.0482602072019154,0.02329614347637419,0.15263074223882353
80,0.006791230512084298,0.00046790280971765433,0.021631061224952747
90,-0.053856909539870435,0.029013560121888823,0.17033367289496468
100,-0.0961823530234134,0.0925244331842154,0.30417829177016464
