n_ocupacao,media_DP,var_DP,DP_DP
0,0.125894503127181,0.0034180955157356078,0.058464480804464584
10,24.463742033383046,6.557814929626111,2.560823096120876
20,30.838818636752993,10.359251104291962,3.2185790504960354
30,34.45923454257722,12.306830903392642,3.5081093060782247
40,36.82511088230792,13.24297211603493,3.639089462494008
50,37.76769387061041,14.257093265919028,3.7758566267694844
60,38.712846843849384,16.657527683104092,4.0813634588338354
70,39.24758811333709,16.012461858279124,4.001557429086721
80,40.19526032285403,15.527244138411268,3.940462426976213
90,40.82094494627604,18.017431851874687,4.2446945534248615
100,41.26542660191545,17.97844666838762,4.240099841794721
