n_ocupacao,media_EME,var_EME,DP_EME
0,29.70537349267454,8.751408081307986,2.958277891156946
10,7.6325359843919065,1.003849793221218,1.0019230475546603
20,-14.466489264779975,2.9128064324951985,1.7066945926249366
30,-36.63177590835991,14.368240390208262,3.7905461862650167
40,-58.7817693286657,35.548798221429784,5.962281293383413
50,-80.92504687642347,66.00174041739388,8.124145519215782
60,-103.14439066637195,107.3865154385941,10.36274652003966
70,-125.33709612144992,157.55242768380444,12.551988993135886
80,-147.49301068770578,217.28923574387497,14.740733894344439
90,-169.59855439343977,287.22388081855627,16.947680691426665
100,-191.6835261214724,365.7277703043947,19.124010309147888
