n_ocupacao,media_SNR,var_SNR,DP_SNR
0,nan,nan,nan
10,-33.84507687317998,0.31779904786834473,0.5637366830962348
20,-32.77761244376241,1.1827404989379557,1.087538734454068
30,-32.065180281603446,0.13427087810698565,0.3664299088597786
40,-31.43412346545432,0.19500488560126375,0.44159357513585246
50,-30.670345276239495,0.16203030086639844,0.4025298757438986
60,-30.02225597099947,0.42189704488014523,0.649536022773291
70,-29.51025223083655,0.11876271367197987,0.3446196652426844
80,-29.172522152152638,0.15077743308125982,0.38830069930565386
90,-28.72912122148174,0.2995296858904874,0.5472930530259702
100,-28.36987535419744,0.266249365073723,0.5159935707678178
