n_ocupacao,media_DP,var_DP,DP_DP
0,15677.098690040633,1057516737.2939472,32519.482426600014
10,7014.701993133311,199141212.97930625,14111.74025339562
20,4528.38475135978,105921695.75753482,10291.826648245433
30,6138.952781055139,561065723.0847881,23686.82593942861
40,13712.710186589973,9062486608.817022,95197.09348933413
50,26282.164736442133,27624722394.501183,166206.866267616
60,7077.541034791279,392313240.16768736,19806.898802379117
70,6109.163684348693,76468930.83833809,8744.65155614208
80,12858.326771571214,3290535000.794288,57363.18506493767
90,8098.759204957028,373853034.68763447,19335.27953476842
100,6587.156681105431,243828421.4262349,15615.006289663635
