n_ocupacao,media_MSE,var_MSE,DP_MSE
0,891.3877492152149,7877.493057884685,88.75524242479813
10,642.0847648592029,4786.807200891371,69.18675596450069
20,1321.4721373614163,22753.806321843003,150.84364859629656
30,2926.5845474912308,101317.9673141991,318.30483394726997
40,5456.116193499922,327889.7471352009,572.6165795147753
50,8908.522726578938,836731.9522111823,914.7305353005236
60,13331.560837999072,1879236.0996065503,1370.8523259660576
70,18664.96464297391,3600056.4114823593,1897.3814617736623
80,24933.040672077677,6347484.784601864,2519.421517849259
90,32107.92422001333,10492022.836635755,3239.1392122963402
100,40211.58883666239,16286877.851407703,4035.7004164590444
