Oc,media_erro,var_erro,desvio_padrao_erro
0,30.00090633803782,0.1632942231072937,0.4040967991797184
10,7.754728029711646,523.3051326137008,22.87586353809842
20,-14.58699610549229,1001.8751467770662,31.652411389609263
30,-37.059119176384876,1403.763614900025,37.4668335318055
40,-59.44653027662526,1750.3453471792584,41.83712881137111
50,-81.76727307926704,2062.4409727540337,45.414105438222975
60,-104.21274023666399,2329.8974889649144,48.26901168415316
70,-126.73412486916719,2526.796154749681,50.26724733611023
80,-149.11191673816452,2667.844483569876,51.65118085358626
90,-171.38361317106467,2765.2649923670024,52.58578698058062
100,-193.69030709528508,2805.2528728495677,52.964637946931795
