n_ocupacao,media_DP,var_DP,DP_DP
0,0.0,0.0,0.0
10,10.093649379232794,3.9397535597245867,1.9848812457486182
20,13.835703153168284,3.2826500260177585,1.8118084959558387
30,19.788386421287175,63.9696829083831,7.998104957324772
40,20.389516450115856,5.209739310158864,2.2824853362418045
50,22.328502757767776,3.039156435484166,1.7433176519166453
60,24.50097875897667,6.851552178472577,2.617546977319142
70,23.72447966911245,28.418944012469844,5.330942131787761
80,25.901727300046105,11.625041617601795,3.409551527342239
90,30.455017882710614,42.42103611853566,6.513143336249837
100,29.71019525961318,0.005530313356824318,0.0743660766534333
